	zeit	Soll Temp	Ist Temp	Heizung	temp erreicht	Pumpe
6236	6	86	63	1	0	0
7002	7	86	63	1	0	0
7767	8	86	63	1	0	0
8531	9	86	63	1	0	0
9297	9	86	63	1	0	0
10062	10	86	63	1	0	0
10828	11	86	63	1	0	0
11593	12	86	63	1	0	0
12358	12	86	63	1	0	0
13124	13	86	63	1	0	0
13889	14	86	63	1	0	0
14655	15	86	63	1	0	0
15420	15	86	63	1	0	0
16186	16	86	63	1	0	0
16951	17	86	63	1	0	0
17716	18	86	63	1	0	0
18482	18	86	63	1	0	0
19247	19	86	63	1	0	0
20013	20	86	63	1	0	0
20777	21	86	63	1	0	0
21543	22	86	63	1	0	0
22308	22	86	63	1	0	0
23073	23	86	63	1	0	0
23839	24	86	63	1	0	0
24604	25	86	63	1	0	0
25370	25	86	63	1	0	0
26135	26	86	63	1	0	0
26901	27	86	63	1	0	0
27666	28	86	63	1	0	0
28432	28	86	63	1	0	0
29197	29	86	63	1	0	0
29962	30	86	63	1	0	0
30728	31	86	63	1	0	0
31493	31	86	63	1	0	0
32259	32	86	63	1	0	0
33024	33	86	63	1	0	0
33789	34	86	63	1	0	0
34554	35	86	63	1	0	0
35319	35	86	63	1	0	0
36085	36	86	63	1	0	0
36850	37	86	63	1	0	0
37616	38	86	63	1	0	0
38381	38	86	63	1	0	0
39147	39	86	63	1	0	0
39912	40	86	63	1	0	0
40678	41	86	63	1	0	0
41443	41	86	63	1	0	0
42208	42	86	63	1	0	0
42974	43	86	63	1	0	0
43739	44	86	63	1	0	0
44505	45	86	63	1	0	0
45270	45	86	63	1	0	0
46035	46	86	63	1	0	0
46800	47	86	63	1	0	0
47565	48	86	63	1	0	0
48331	48	86	63	1	0	0
49096	49	86	63	1	0	0
49862	50	86	63	1	0	0
50627	51	86	63	1	0	0
51393	51	86	63	1	0	0
52158	52	86	63	1	0	0
52924	53	86	63	1	0	0
53689	54	86	63	1	0	0
54454	54	86	63	1	0	0
55220	55	86	63	1	0	0
55985	56	86	63	1	0	0
56751	57	86	63	1	0	0
57516	58	86	63	1	0	0
58281	58	86	63	1	0	0
59046	59	86	63	1	0	0
59811	60	86	63	1	0	0
60577	61	86	63	1	0	0
61342	61	86	63	1	0	0
62108	62	86	63	1	0	0
62873	63	86	63	1	0	0
63639	64	86	63	1	0	0
64404	64	86	63	1	0	0
65170	65	86	63	1	0	0
65935	66	86	63	1	0	0
66700	67	86	63	1	0	0
67466	67	86	63	1	0	0
68231	68	86	63	1	0	0
68997	69	86	63	1	0	0
69762	70	86	63	1	0	0
70528	71	86	63	1	0	0
71292	71	86	63	1	0	0
72057	72	86	63	1	0	0
72823	73	86	63	1	0	0
73588	74	86	63	1	0	0
74354	74	86	63	1	0	0
75119	75	86	63	1	0	0
75885	76	86	63	1	0	0
76650	77	86	63	1	0	0
77416	77	86	63	1	0	1
78181	78	86	63	1	0	1
78946	79	86	63	1	0	1
79712	80	86	63	1	0	1
80477	80	86	63	1	0	1
81243	81	86	63	1	0	1
82008	82	86	63	1	0	1
82774	83	86	63	1	0	1
83538	84	86	63	1	0	1
84303	84	86	63	1	0	1
85069	85	86	63	1	0	1
85834	86	86	63	1	0	1
86600	87	86	63	1	0	1
87365	87	86	63	1	0	1
88131	88	86	63	1	0	1
88896	89	86	63	1	0	1
89661	90	86	63	1	0	1
90427	90	86	63	1	0	1
91192	91	86	63	1	0	1
91958	92	86	63	1	0	1
92723	93	86	63	1	0	0
93489	93	86	63	1	0	0
94254	94	86	63	1	0	0
95020	95	86	64	1	0	0
95784	96	86	64	1	0	0
